"","ten_two","ten_two_unexp","ten","ten_unexp","cpi","cpi_unexp","jobs","jobs_unexp"
"1",0.8,NA,-0.00387347159579666,0.00347329103396469,0.00890477834295991,-0.00606713743611429,0.00703936523279885,-0.00369896414224058
"2",1.075,NA,-0.00259067502409251,0.000287566003936767,0.0158314652166804,0.00536741176792989,0.00484743504369226,0.00343607481706276
"3",1.46,NA,-0.0768054112237451,-0.0693262786963625,0.0147252552439795,0.000361383947786452,0.00571623110501322,0.000187745578380651
"4",1.335,NA,0.0269446352434519,0.0497730326990738,0.0170507114597225,0.00240412881681645,0.0107309146691095,0.00224882119789547
"5",1.28,NA,0.00476029460630012,-0.0293023568642653,0.0184259819463686,-0.00125585733962257,0.0130801742297799,0.00343620414712962
"6",0.845,NA,-0.000678656286651584,0.0153628477844634,0.0131906281859493,-0.00300824179249334,0.0130134782643637,0.00164986979934975
"7",0.46,NA,0.0320668757966627,0.026336747989431,0.0146344075184378,0.00194394229480369,0.0109634358732706,-0.00165490638065659
"8",0.465,NA,0.0506356159685797,0.0320599786631819,0.0176004543357771,0.0014937994264965,0.0109621564962484,0.00218904386650871
"9",0.315,NA,0.0374162013854222,0.0328518051767368,0.021961666974268,0.00618586650400198,0.0178225424460231,0.00744187617694015
"10",0,NA,0.0261452801043224,0.0241312456919488,0.0237650126412291,0.00474328512005502,0.00982369649620555,-0.0067187888181605
"11",-0.46,-0.408251884616687,0.03458557964978,0.0316619803381848,0.0224728558520586,0.00329709707675753,0.0102661308528651,0.00642356560972618
"12",-0.69,-0.217360330769919,0.0317841084525064,0.0293924060668041,0.0248732647451398,0.004812276443542,0.00937127368076078,-0.000250289091081862
"13",-0.455,0.137074891893043,-0.00329851865866494,0.000495709665091143,0.0312970067219148,0.00965987499474396,0.00691417639732557,-0.00013864105904408
"14",-0.46,-0.129725226575761,0.00658619285285688,0.0186089193756954,0.0317049298497521,0.00541068343031735,0.00562674542600437,0.000144694068299576
"15",-1.095,-0.614691144023752,0.136331080342143,0.134802741874974,0.031388219510011,0.00383711292116648,0.00340065852543946,-0.00294085373843188
"16",-1.415,-0.228356161388561,0.11698717409428,0.0782084570104338,0.0386895449501789,0.011399746649828,0.00353216090565825,0.0014363467347198
"17",0.01,1.22257818391074,-0.102768925092001,-0.10277520341453,0.0329734382104763,0.00193054628840381,-0.00466995569513067,-0.00644631602038187
"18",0.58,-0.0209166700336316,0.0237165266173158,0.074761741495702,0.0187941269945959,-0.00829814675193248,-0.00499729568822755,-0.00162712021691433
"19",-0.79,-1.22327131829259,0.122266434240359,0.0797452004561635,0.0272528714776494,0.00604633596496408,0.00767402329178593,0.00990354290193387
"20",-0.59,0.27569317188046,0.0464830450080515,0.0469376481531545,0.0270988043529288,0.00229300696613727,0.00447095863840137,-0.00569662299852856
"21",-0.915,-0.734328927178643,0.0679053237995526,0.0907773509105118,0.0213851706170224,0.00118394162552134,0.00288203585603713,0.00151092824151283
"22",-1.205,-0.119019291573112,0.0710461362943093,0.0343030464926896,0.0274591662006525,0.0051293807265021,0.00168373215962553,-0.00209713071815184
"23",0.06,0.571060098851446,-0.0364677492813244,-0.0382933599834195,0.0155875233417138,-0.00889592797451255,-0.00442311466306695,-0.00554711941882712
